Provience,Fuel Type,Count
Nova Scotia,M-1 Boreal Mixedwood - Leafless (15% Conifer),56185
Nova Scotia,M-1/M-2 Boreal Mixedwood (25% Conifer),3559376
Nova Scotia,M-1/M-2 Boreal Mixedwood (50% Conifer),7460252
Nova Scotia,M-1/M-2 Boreal Mixedwood (75% Conifer),8485099
Nunavut,C-1 Spruce-Lichen Woodland,27077
Nunavut,C-2 Boreal Spruce,10983181
Nunavut,C-3 Mature Jack or Lodgepole Pine,72646
Nunavut,C-4 Immature Jack or Lodgepole Pine,1763734
Nunavut,D-1 Leafless Aspen,246121
Nunavut,D-1/D-2 Aspen,574815868
Nunavut,O-1a Matted Grass,256019792
Nunavut,Non-fuel,857056
Nunavut,Water,208096539
Nunavut,Vegetated Non-Fuel,38327
Nunavut,M-1 Boreal Mixedwood - Leafless (15% Conifer),1796859
Nunavut,M-1/M-2 Boreal Mixedwood (25% Conifer),55992195
Nunavut,M-1/M-2 Boreal Mixedwood (50% Conifer),6429512
Nunavut,M-1/M-2 Boreal Mixedwood (75% Conifer),2650333
Ontario,C-1 Spruce-Lichen Woodland,20989481
Ontario,C-2 Boreal Spruce,318378664
Ontario,C-3 Mature Jack or Lodgepole Pine,54409791
Ontario,C-4 Immature Jack or Lodgepole Pine,51801836
Ontario,C-5 Red and White Pine,5087406
Ontario,D-1 Leafless Aspen,103134529
Ontario,D-1/D-2 Aspen,116747360
Ontario,O-1a Matted Grass,119708584
Ontario,Non-fuel,17404922
Ontario,Water,91916900
Ontario,Vegetated Non-Fuel,3704747
Ontario,M-1 Boreal Mixedwood - Leafless (15% Conifer),351992
Ontario,M-1/M-2 Boreal Mixedwood (25% Conifer),45700784
Ontario,M-1/M-2 Boreal Mixedwood (50% Conifer),93052129
Ontario,M-1/M-2 Boreal Mixedwood (75% Conifer),45737521
Prince Edward Islands,C-2 Boreal Spruce,622870
Prince Edward Islands,C-3 Mature Jack or Lodgepole Pine,89347
Prince Edward Islands,C-4 Immature Jack or Lodgepole Pine,176890
Prince Edward Islands,C-5 Red and White Pine,24
Prince Edward Islands,D-1 Leafless Aspen,667296
Prince Edward Islands,D-1/D-2 Aspen,106868
Prince Edward Islands,O-1a Matted Grass,2873847
Prince Edward Islands,Non-fuel,514279
Prince Edward Islands,Water,77629
Prince Edward Islands,M-1 Boreal Mixedwood - Leafless (15% Conifer),301
Prince Edward Islands,M-1/M-2 Boreal Mixedwood (25% Conifer),343263
Prince Edward Islands,M-1/M-2 Boreal Mixedwood (50% Conifer),625074
Prince Edward Islands,M-1/M-2 Boreal Mixedwood (75% Conifer),415814
Quebec,C-1 Spruce-Lichen Woodland,1550980
Quebec,C-2 Boreal Spruce,372206827
Quebec,C-3 Mature Jack or Lodgepole Pine,36812878
Quebec,C-4 Immature Jack or Lodgepole Pine,73107436
Quebec,C-5 Red and White Pine,888609
