year,provience,C-1 Spruce-Lichen Woodland,C-2 Boreal Spruce,C-3 Mature Jack or Lodgepole Pine,C-4 Immature Jack or Lodgepole Pine,C-5 Red and White Pine,C-7 Ponderosa Pine / Douglas Fir,D-1 Leafless Aspen,D-1/D-2 Aspen,O-1a Matted Grass,Non-fuel,Water,Vegetated Non-Fuel,M-1 Boreal Mixedwood - Leafless (15% Conifer),M-1/M-2 Boreal Mixedwood (25% Conifer),M-1/M-2 Boreal Mixedwood (50% Conifer),M-1/M-2 Boreal Mixedwood (75% Conifer)
2009,Newfoundland and Labrador,141,40621,4,289,0,0,697,81787,114157,7397,4561,0,1682,162652,2915,5782
2009,British Columbia,626,20042,527722,948303,93408,17353,77411,137716,155639,37762,3429,42597,77800,73730,12624,45985
2009,Parks Canada,289,17022,22966,27617,18,0,71517,33278,32952,6561,11151,774,6444,14212,24606,7554
2009,Manitoba,40,1937,728,1479,0,0,8024,2787,11165,329,376,0,71,1394,1464,1118
2009,Nova Scotia,0,312,26,127,0,0,498,3745,94,2104,57,0,0,30,286,139
2009,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,British Columbia,359,24300,479475,1534210,49185,5752,45990,282783,199905,18128,14952,166882,63167,181668,21473,53480
2010,Alberta,5789,33803,17114,290881,0,0,37112,114524,15120,54018,5008,20466,232,92698,30552,47379
2010,Saskatchewan,1027,828870,771104,5389431,0,0,53719,6573110,476194,10608,279948,41592,30201,1215219,128216,986727
2010,Yukon Territory,116,102759,62749,44719,0,0,159030,478926,277985,15227,1426,12262,21542,164515,15952,36453
2010,Northwest Territories,1065,47974,14158,871914,0,0,116955,594191,301299,5906,70343,196318,21960,290883,56675,66839
2010,Nunavut,0,423,24,1291,0,0,64,83719,1693,0,3451,0,0,499,157,151
2010,Manitoba,1160,153055,38972,428712,0,0,40572,493034,82996,4186,21104,4757,11,102503,49825,85174
2010,Quebec,295,76835,26530,258978,0,0,236749,1875284,56104,15561,101873,49713,972691,332764,60027,111562
2010,Ontario,2722,39276,7380,24887,0,0,13246,24154,12947,2234,4632,0,272,19443,13101,10717
